"plec","waga","wiek","wojewodztwo","podregion66","godzin_internetu","rok"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",3,"2003"
"mężczyzna",1.044407343744,"25-34 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",2,"2003"
"kobieta",0.989887392,"25-34 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",1,"2003"
"kobieta",0.989887392,"25-34 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",0,"2003"
"kobieta",0.989887392,"25-34 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",1,"2003"
"mężczyzna",0.766113617376,"60-64 lata","Kujawsko-Pomorskie","GRUDZIĄDZKI",0,"2003"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",2,"2003"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",3,"2003"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",3,"2003"
"mężczyzna",1.044407343744,"25-34 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",40,"2003"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",0,"2003"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",4,"2003"
"mężczyzna",0.903290576448,"45-59 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",1,"2003"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",2,"2003"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",2,"2003"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",2,"2003"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",2,"2003"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",1,"2003"
